,genes,PPEE,PPDE,PostFC,RealFC,Direction,WTL1.genes.results,WTL2.genes.results,WTL3.genes.results,WTD1.genes.results,WTD2.genes.results,WTD3.genes.results
52,gene-ACX60_RS00260_ACX60_RS00260,0.041656014,0.958343986,0.416274143,0.416076527,D Over L,1470.534864,1227.0277,2425.239797,359.9474969,584.000066,35.11958128
187,gene-ACX60_RS00960_betT,0.013522367,0.986477633,0.325632122,0.325586386,D Over L,7649.117793,8245.209191,9400.217262,2005.932574,2471.403505,926.1163655
240,gene-ACX60_RS01225_ACX60_RS01225,0.007732004,0.992267996,2.362477931,2.367051694,D Over L,116.0948577,55.09711758,110.7461826,307.5048152,246.080673,684.1814723
254,gene-ACX60_RS01295_ACX60_RS01295,3.71E-06,0.999996292,1.905627828,1.913654583,D Over L,54.03156898,60.30900708,56.89712134,138.2579789,134.2258216,210.7174877
266,gene-ACX60_RS01355_ACX60_RS01355,0.00295046,0.99704954,0.420041218,0.419636438,D Over L,907.5843277,1061.736347,781.3193985,277.707837,340.274232,131.3732485
285,gene-ACX60_RS01450_ACX60_RS01450,0.001091159,0.998908841,2.134923734,2.136927609,D Over L,430.7922392,244.2142509,341.3827281,899.8687421,818.3065441,1230.48607
320,gene-ACX60_RS01625_rpoZ,4.73E-06,0.99999527,1.932901134,1.9337739,D Over L,476.7920885,557.6721766,620.7882347,707.9762024,883.0646159,1121.22515
334,gene-ACX60_RS01695_ACX60_RS01695,0.046931384,0.953068616,1.981645449,1.987084069,D Over L,143.8407985,87.85756587,107.6981225,289.6266283,269.6290627,249.7392446
338,gene-ACX60_RS01715_ACX60_RS01715,0.001230496,0.998769504,0.345734847,0.345132609,D Over L,667.3628926,713.284306,755.9188979,137.0660998,135.4032411,44.2246579
498,gene-ACX60_RS02520_rpsI,0.002067468,0.997932532,2.584273808,2.584767479,D Over L,1371.963758,1218.093032,1386.867333,2835.480447,2881.145487,6390.463067
545,gene-ACX60_RS02765_ACX60_RS02765,0.006831087,0.993168913,0.528342584,0.524634968,D Over L,62.79344503,61.05356273,109.7301626,25.0294617,29.4354872,20.81160372
552,gene-ACX60_RS02800_ACX60_RS02800,0.001889169,0.998110831,0.508721767,0.508327656,D Over L,578.2838194,601.6009595,766.0790981,239.5677049,267.2742238,149.5834017
555,gene-ACX60_RS02815_ACX60_RS02815,0.037733879,0.962266121,1.93915909,1.942973791,D Over L,155.5232999,92.32489973,179.8355442,436.2277611,348.5161684,710.1959769
604,gene-ACX60_RS03065_ACX60_RS03065,3.54E-10,1,3.140893623,3.149936708,D Over L,610.4106982,52.11889501,580.1474337,927.2819621,811.2420272,505.9821154
762,gene-ACX60_RS03865_rpmA,0.034223123,0.965776877,3.734108591,3.736044625,D Over L,422.7605195,571.8187338,565.9231534,1088.185644,1226.871106,2614.457717
822,gene-ACX60_RS04165_ACX60_RS04165,0.00016411,0.99983589,0.494354877,0.494292738,D Over L,4041.415329,3313.272611,4201.242799,1383.771668,1535.355012,1009.36278
826,gene-ACX60_RS04185_ACX60_RS04185,3.60E-06,0.999996401,0.440972464,0.440354836,D Over L,617.7122616,563.6286218,587.2595739,246.7189796,222.5322832,152.1848522
830,gene-ACX60_RS04205_ACX60_RS04205,4.61E-09,0.999999995,2.677609886,2.704335378,D Over L,50.3807873,29.78222572,54.8650813,132.2985833,158.9516309,163.8913793
959,gene-ACX60_RS04875_carO,0.000134537,0.999865463,0.37762161,0.377612432,D Over L,55829.94404,35161.64024,68970.48729,9023.716883,12909.22727,2069.453845
995,gene-ACX60_RS05055_ACX60_RS05055,0.0116235,0.9883765,0.516677907,0.516407255,D Over L,1151.456544,817.522096,1307.617771,469.6003767,475.6774731,150.884127
1086,gene-ACX60_RS05515_ACX60_RS05515,0.003706656,0.996293344,0.203432072,0.201990196,D Over L,194.9517421,206.9864688,229.6205254,35.75637386,61.22581337,20.81160372
1157,gene-ACX60_RS05875_ACX60_RS05875,0.001238261,0.998761739,0.528745406,0.528667421,D Over L,4965.793252,4068.996589,6020.934662,1829.534462,2195.887345,235.4312671
1192,gene-ACX60_RS06055_ACX60_RS06055,0.001645099,0.998354901,0.338116273,0.33415297,D Over L,43.80938026,84.8793433,38.60876091,8.343153901,12.95161437,14.30797756
1247,gene-ACX60_RS06330_rpsU,0.001467701,0.998532299,2.163325342,2.164384932,D Over L,350.4750421,617.2366281,496.8337917,581.6370148,908.9678447,1706.551505
1260,gene-ACX60_RS06395_ACX60_RS06395,0.000187465,0.999812535,0.485506447,0.484070441,D Over L,97.84094924,179.43791,137.1627032,110.844759,70.64516927,44.2246579
1266,gene-ACX60_RS06425_ACX60_RS06425,0.00106286,0.99893714,0.450530747,0.449509653,D Over L,365.8083251,244.9588065,417.5842299,75.0883851,74.17742774,11.70652709
1294,gene-ACX60_RS06570_ACX60_RS06570,0.019157458,0.980842542,0.401064441,0.400251992,D Over L,451.2366166,874.8528805,590.3076339,116.8041546,158.9516309,49.42755883
1297,gene-ACX60_RS06585_ACX60_RS06585,0.019308514,0.980691486,0.358585381,0.357021985,D Over L,212.4754942,302.2895911,255.021026,88.19905552,90.66130057,45.52538314
1319,gene-ACX60_RS06700_rplI,0.02009536,0.97990464,2.795448185,2.795706369,D Over L,3005.323486,1885.959444,3231.959696,5303.862122,5954.21035,13143.82847
1336,gene-ACX60_RS06785_ACX60_RS06785,0.018973948,0.981026052,1.90019009,1.90219173,D Over L,1120.789978,128.0635706,990.6195234,1129.901414,921.919459,426.6378763
1373,gene-ACX60_RS06970_ACX60_RS06970,0.028017094,0.971982906,0.466450434,0.465032185,D Over L,221.9675266,213.6874695,197.1078847,88.19905552,69.46774979,65.03626162
1378,gene-ACX60_RS06995_miaA,0.040132347,0.959867653,0.46167211,0.461490523,D Over L,1389.48751,2503.940627,1658.144679,460.0653437,505.1129603,377.2103174
1420,gene-ACX60_RS07210_ACX60_RS07210,0.01189464,0.98810536,0.357323383,0.346097068,D Over L,45.26969293,21.59211365,51.81702122,9.535033029,5.88709744,1.300725232
1427,gene-ACX60_RS07250_ACX60_RS07250,0.025336524,0.974663476,1.934634543,1.937179502,D Over L,158.4439253,130.2972375,160.5311638,460.0653437,535.725867,556.7103995
1584,gene-ACX60_RS08050_ACX60_RS08050,0.009322443,0.990677557,0.473007937,0.472948928,D Over L,5001.570913,4890.241463,5893.932159,1626.915011,1680.177609,545.0038724
1585,gene-ACX60_RS08055_ACX60_RS08055,0.020121642,0.979878358,0.294279193,0.293992476,D Over L,1478.566584,992.4926721,2157.010511,286.0509909,284.9355161,96.2536672
1606,gene-ACX60_RS08160_ACX60_RS08160,1.45E-05,0.99998555,0.522007886,0.520930912,D Over L,297.9037857,192.0953559,371.8633288,139.4498581,108.3225929,98.85511767
1615,gene-ACX60_RS08205_ACX60_RS08205,0.005365264,0.994634736,0.493399031,0.492707185,D Over L,262.1261252,602.3455152,402.3439295,214.5382432,186.0322791,166.4928298
1632,gene-ACX60_RS08290_ACX60_RS08290,1.11E-16,1,0.353233809,0.351048418,D Over L,150.4122055,169.7586866,212.348185,114.4203964,134.2258216,49.42755883
1674,gene-ACX60_RS08500_ACX60_RS08500,0.004017757,0.995982243,0.081554782,0.08075763,D Over L,61.33313236,208.47558,77.21752182,17.87818693,28.25806771,3.902175697
1675,gene-ACX60_RS08505_ACX60_RS08505,0.011385401,0.988614599,0.085150351,0.08447007,D Over L,70.09500841,218.899359,75.18548178,20.26194519,27.08064822,3.902175697
1676,gene-ACX60_RS08510_ACX60_RS08510,0.000885739,0.999114261,0.081162708,0.079391336,D Over L,27.01578449,61.05356273,48.76896115,5.959395643,8.241936415,3.902175697
1677,gene-ACX60_RS08515_ACX60_RS08515,0.00011737,0.99988263,0.059710053,0.057802872,D Over L,32.85703519,61.05356273,39.62478094,2.383758257,5.88709744,2.601450465
1679,gene-ACX60_RS08525_ACX60_RS08525,0.01109255,0.98890745,0.087031921,0.085642362,D Over L,38.69828589,109.4496795,36.57672086,9.535033029,7.064516927,3.902175697
1680,gene-ACX60_RS08530_ACX60_RS08530,0.001916677,0.998083323,0.088620891,0.087610235,D Over L,52.57125631,113.9170134,57.91314137,26.22134083,12.95161437,5.20290093
1681,gene-ACX60_RS08535_ACX60_RS08535,0.033166966,0.966833034,0.078618034,0.077648991,D Over L,58.41250701,113.9170134,49.78498118,20.26194519,22.37097027,10.40580186
1703,gene-ACX60_RS08645_ACX60_RS08645,0.006791232,0.993208768,0.458322308,0.458261105,D Over L,4617.508679,3421.977735,5462.123649,880.7986761,1330.484021,227.6269157
1711,gene-ACX60_RS08685_ACX60_RS08685,0.000115752,0.999884248,1.960798248,1.96440455,D Over L,681.9660193,77.43378687,633.996495,887.9499508,999.6291452,515.0871921
1780,gene-ACX60_RS09045_ACX60_RS09045,4.17E-11,1,0.4948404,0.494296969,D Over L,652.0296095,440.7769407,647.2047553,390.9363542,309.6613253,261.4457717
1818,gene-ACX60_RS09240_ACX60_RS09240,0.008320783,0.991679217,2.768696166,2.769123821,D Over L,2621.261252,1163.74047,2311.445555,7465.930862,5231.274785,1116.022249
1846,gene-ACX60_RS09385_ACX60_RS09385,0.042511228,0.957488772,0.505815693,0.505390218,D Over L,447.585835,669.3555231,558.8110132,182.3575067,243.725834,100.1558429
1883,gene-ACX60_RS09575_ACX60_RS09575,0.014872836,0.985127164,0.529853834,0.52882738,D Over L,156.2534562,282.9311443,210.316145,145.4092537,93.01613954,58.53263546
1900,gene-ACX60_RS09660_ACX60_RS09660,0.031332667,0.968667333,0.496076489,0.495707004,D Over L,665.9025799,734.131864,469.4012511,721.0868728,520.4194137,317.3769567
1938,gene-ACX60_RS09850_ACX60_RS09850,0.000169499,0.999830501,0.428247558,0.427199017,D Over L,386.9828589,329.8381499,437.9046303,102.5016051,127.1613047,45.52538314
1939,gene-ACX60_RS09855_rpsT,0.002793336,0.997206664,2.393665047,2.394626085,D Over L,471.6809941,649.9970763,539.5066327,790.2158623,858.3388067,3060.606472
1945,gene-ACX60_RS09885_ACX60_RS09885,0.043538061,0.956461939,0.508474979,0.507995652,D Over L,533.0141265,486.9393905,612.6600745,212.1544849,268.4516432,122.2681719
1952,gene-ACX60_RS09920_ACX60_RS09920,0.045461724,0.954538276,0.526675141,0.52526161,D Over L,147.4915802,165.2913527,176.7874842,77.47214336,85.95162262,48.1268336
2008,gene-ACX60_RS10225_ACX60_RS10225,5.25E-09,0.999999995,0.47432738,0.474245509,D Over L,3931.161722,3588.758199,4522.305127,2014.275727,2193.532506,841.5692254
2061,gene-ACX60_RS10490_ACX60_RS10490,0.000109914,0.999890086,0.486793194,0.486744686,D Over L,5720.044749,4970.653473,6871.343422,1810.464396,2052.242167,805.1489189
2175,gene-ACX60_RS11070_yfcF,0.018670893,0.981329107,0.504361761,0.504108057,D Over L,833.8385376,1066.948236,1029.228284,339.6855517,374.4193972,175.5979064
2176,gene-ACX60_RS11075_yghU,0.003176577,0.996823423,0.505473,0.505336783,D Over L,1862.628817,1544.208404,2193.587232,511.3161462,686.4355615,312.1740558
2197,gene-ACX60_RS11180_ACX60_RS11180,1.42E-05,0.999985845,0.401847146,0.400446175,D Over L,132.1582971,151.8893512,171.7073841,48.86704427,78.88710569,50.72828407
2200,gene-ACX60_RS11200_katE,0.034510781,0.965489219,0.260538078,0.260521461,D Over L,23798.71567,27536.6459,27653.01699,1529.180922,2128.774434,412.3298987
2204,gene-ACX60_RS11220_ACX60_RS11220,0.002796305,0.997203695,0.326459385,0.324739163,D Over L,370.9194195,361.1094869,391.1677092,30.98885734,25.90322873,9.105076627
2357,gene-ACX60_RS12000_ACX60_RS12000,2.67E-08,0.999999973,0.446294394,0.443738198,D Over L,201.5231492,108.7051239,203.2040048,57.21019818,60.04839388,41.62320744
2371,gene-ACX60_RS12080_ACX60_RS12080,0.000170622,0.999829378,2.297655347,2.305401543,D Over L,126.3170464,50.62978372,121.9224029,189.5087815,220.1774442,381.1124931
2404,gene-ACX60_RS12250_ACX60_RS12250,0.016990077,0.983009923,0.26530151,0.265285368,D Over L,35043.12327,37433.27951,38823.14114,4698.387525,5781.129686,383.7139436
2529,gene-ACX60_RS12885_ACX60_RS12885,0.035993628,0.964006372,2.256001265,2.309006128,D Over L,8.761876051,9.679223359,8.128160192,45.29140689,41.20968208,20.81160372
2542,gene-ACX60_RS12950_ACX60_RS12950,0.005783483,0.994216517,2.063398584,2.070661166,D Over L,88.34891685,92.32489973,90.42578214,179.9737484,182.5000206,235.4312671
2581,gene-ACX60_RS13150_ACX60_RS13150,7.00E-05,0.999929965,1.900270807,1.902662369,D Over L,297.1736294,84.8793433,310.9021273,524.4268166,672.3065276,823.3590722
2610,gene-ACX60_RS13295_ACX60_RS13295,4.05E-05,0.999959491,0.51146134,0.509278811,D Over L,102.9520436,100.5150118,117.8583228,48.86704427,60.04839388,31.21740558
2618,gene-ACX60_RS13335_ACX60_RS13335,0.034389568,0.965610432,0.496390811,0.496296772,D Over L,4419.636312,2116.771693,4705.188731,989.2596768,1143.274323,338.1885604
2631,gene-ACX60_RS13400_ACX60_RS13400,0.043992807,0.956007193,2.361491801,2.380650519,D Over L,25.55547182,40.95056037,28.44856067,48.86704427,52.98387696,52.0290093
2702,gene-ACX60_RS13760_ACX60_RS13760,0.010624958,0.989375042,2.3283359,2.344074988,D Over L,39.42844223,34.99411522,38.60876091,91.77469291,108.3225929,291.3624521
2765,gene-ACX60_RS14075_ACX60_RS14075,1.63E-14,1,0.505972084,0.504292612,D Over L,122.6662647,107.2160126,121.9224029,77.47214336,60.04839388,70.23916255
2795,gene-ACX60_RS14225_rplY,0.022372344,0.977627656,3.031891475,3.033851388,D Over L,413.2684871,250.170696,437.9046303,1007.137864,1275.145305,2591.044663
2804,gene-ACX60_RS14270_acpP,0.000813615,0.999186385,2.254399621,2.254833732,D Over L,1077.710754,671.58919,1354.354692,1511.302735,1959.226028,2766.64257
2807,gene-ACX60_RS14285_rpmF,1.32E-08,0.999999987,3.208076931,3.210173807,D Over L,347.5544167,370.0441546,531.3784726,556.6075531,778.2742815,1289.018705
2809,gene-ACX60_RS14295_ACX60_RS14295,0.01350528,0.98649472,0.521366705,0.520402569,D Over L,156.9836126,354.4084861,215.3962451,116.8041546,203.6935714,218.5218391
2820,gene-ACX60_RS14350_ACX60_RS14350,0.000278233,0.999721767,0.33422118,0.33392177,D Over L,2324.087623,990.2590052,2613.203502,367.0987716,390.90327,373.3081417
2841,gene-ACX60_RS14455_ACX60_RS14455,0.022109112,0.977890888,2.179735277,2.186103269,D Over L,147.4915802,99.77045616,144.2748434,199.0438145,234.3064781,347.2936371
2852,gene-ACX60_RS14515_ACX60_RS14515,5.25E-06,0.999994754,0.237482105,0.237477104,D Over L,107636.7267,87956.59178,125176.715,8659.00187,13078.77567,1352.754242
2861,gene-ACX60_RS14560_nuoM,0.000463024,0.999536976,0.494639876,0.494619721,D Over L,10380.63265,9015.079725,12871.95768,6271.667975,6144.952307,7245.039545
2866,gene-ACX60_RS14585_nuoH,4.77E-05,0.999952277,0.502993897,0.502959976,D Over L,5750.711315,5610.22677,7394.593735,2800.915952,2990.645499,3787.711877
2916,gene-ACX60_RS14840_ACX60_RS14840,0.022615356,0.977384644,0.49318521,0.49265501,D Over L,438.0938026,562.8840661,468.3852311,243.1433422,261.3871263,146.9819513
2942,gene-ACX60_RS14970_raiA,0.014776033,0.985223967,0.305842799,0.305786519,D Over L,4277.255826,5728.611117,5829.922898,673.4117077,733.532341,279.655925
2968,gene-ACX60_RS15100_ACX60_RS15100,1.61E-07,0.999999839,4.151903146,4.153045484,D Over L,1190.884987,556.1830653,1353.338672,2953.476481,2653.903526,3479.439997
3073,gene-ACX60_RS15625_ACX60_RS15625,0.049842738,0.950157262,0.455429153,0.454949716,D Over L,396.4748913,509.2760598,449.0808506,151.3686493,133.0484021,110.5616448
3147,gene-ACX60_RS15995_infA,0,1,2.802757846,2.806702127,D Over L,277.4594083,240.4914727,354.5909884,420.7333324,503.9355408,936.5221674
3159,gene-ACX60_RS16055_katG,0.025450151,0.974549849,0.467319892,0.467289089,D Over L,7258.484152,7901.224484,8196.233534,3035.716141,3694.742353,867.5837301
3192,gene-ACX60_RS16225_tusA,0.009507734,0.990492266,1.936567386,1.942894345,D Over L,91.99969854,73.71100866,99.56996235,112.0366381,114.2096903,140.4783251
3262,gene-ACX60_RS16580_ACX60_RS16580,0.000236408,0.999763592,0.491109645,0.489966233,D Over L,303.0148801,183.9052438,370.8473088,97.73408855,96.54839801,48.1268336
3269,gene-ACX60_RS16615_ACX60_RS16615,4.35E-06,0.999995653,0.490776984,0.490219614,D Over L,567.3314743,424.3967165,627.9003748,166.863078,209.5806688,75.44206348
3404,gene-ACX60_RS17295_ACX60_RS17295,0.035745594,0.964254406,2.115584096,2.115933501,D Over L,1994.056958,1023.764009,2033.056068,3649.533892,3745.371391,4068.668527
3460,gene-ACX60_RS17575_ACX60_RS17575,0.029501276,0.970498724,2.215616163,2.216163912,D Over L,891.5208882,636.5950748,655.3329155,4732.95202,3014.193889,1369.66367
3467,gene-ACX60_RS17610_ACX60_RS17610,0.000969734,0.999030266,0.50939182,0.509185289,D Over L,1111.297946,1129.49091,1143.022527,566.1425861,572.2258711,214.6196634
3528,gene-ACX60_RS17920_ACX60_RS17920,5.95E-11,1,3.556363011,3.595468309,D Over L,265.0467506,26.80400315,186.9476844,401.6632664,342.629071,139.1775999
3555,gene-ACX60_RS18055_grpE,0.005714034,0.994285966,1.913427292,1.914212965,D Over L,580.4742884,294.8440346,679.7173961,924.8982038,969.0162385,1263.004201
3573,gene-ACX60_RS18150_ACX60_RS18150,0.017947102,0.982052898,0.406639794,0.406395373,D Over L,1837.073345,1316.374377,2426.255817,429.0764863,500.4032824,59.83336069
3591,gene-ACX60_RS18255_ACX60_RS18255,0.002099493,0.997900507,0.513789288,0.513623618,D Over L,1375.61454,1382.639829,1599.215518,477.9435306,414.4516597,332.9856595
3663,gene-ACX60_RS18650_ACX60_RS18650,5.27E-06,0.999994731,2.5429384,2.558532361,D Over L,194.2215858,32.76044829,180.8515643,220.4976388,244.9032535,232.8298166
3665,gene-ACX60_RS18660_trbJ,1.06E-06,0.999998942,2.362683415,2.365662248,D Over L,686.3469574,155.6121294,657.3649555,911.7875334,1018.467857,797.3445675
3666,gene-ACX60_RS18665_trbK,0.000877456,0.999122544,3.141897826,3.191490692,D Over L,71.55532109,16.38022415,51.81702122,101.3097259,127.1613047,89.75004104
3667,gene-ACX60_RS18670_trbL,1.36E-05,0.999986446,2.694022771,2.697072135,D Over L,1079.901223,122.8516811,923.5622018,1429.063075,1724.91955,1279.913629
3668,gene-ACX60_RS18675_ACX60_RS18675,2.76E-06,0.99999724,2.86507679,2.944571838,D Over L,35.77766054,13.40200157,37.59274089,39.33201125,74.17742774,45.52538314
3677,gene-ACX60_RS18720_ACX60_RS18720,0.000270181,0.999729819,2.163422676,2.17134984,D Over L,151.1423619,34.24955958,131.0665831,160.9036824,219.0000248,165.1921045
3681,gene-ACX60_RS18755_ACX60_RS18755,2.05E-10,1,0.435359691,0.435292304,D Over L,3371.796253,4064.685612,3759.710977,1435.856786,1499.667428,1052.559865
3774,gene-ACX60_RS19590_ACX60_RS19590,0.004505371,0.995494629,0.319592121,0.318220673,D Over L,264.3165942,318.6698152,367.7992487,64.36147295,80.06452518,44.2246579